Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
126422276,00000280,false,Rx,0,8,01,FF,C0,00,00,00,FF,C0,
126422301,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126422308,000001CB,false,Rx,0,7,00,09,FF,CE,60,00,80,00,
126422314,000001CC,false,Rx,0,4,00,3F,F5,CA,00,00,00,00,
126428577,00000180,false,Rx,0,8,00,00,00,00,00,00,2F,00,
126428896,00000174,false,Rx,0,8,00,00,00,AA,0F,00,00,00,
126429075,00000176,false,Rx,0,7,00,00,00,00,00,00,0F,00,
126429435,000001D5,false,Rx,0,5,00,00,00,03,D9,00,00,00,
126429441,00000260,false,Rx,0,4,C8,C8,7D,00,00,00,00,00,
126431312,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126432196,000001CB,false,Rx,0,7,00,09,FF,CE,60,01,05,00,
126432384,000001CC,false,Rx,0,4,00,3F,F5,DB,00,00,00,00,
126435859,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126435866,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126435871,00000625,false,Rx,0,6,02,00,FF,1D,20,00,00,00,
126438651,00000180,false,Rx,0,8,00,00,00,00,00,00,20,00,
126438970,00000174,false,Rx,0,8,00,00,00,AA,00,00,00,00,
126439152,00000176,false,Rx,0,7,00,00,00,00,00,00,00,00,
126439340,000001D5,false,Rx,0,5,00,00,00,00,D6,00,00,00,
126440948,000005C5,false,Rx,0,8,40,01,67,67,00,0C,00,00,
126441267,00000280,false,Rx,0,8,01,FF,C0,00,00,00,FF,C0,
126441595,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126441775,00000355,false,Rx,0,8,00,00,00,00,00,00,60,00,
126442093,0000054A,false,Rx,0,8,A0,80,70,02,00,00,00,3F,
126442414,000001CB,false,Rx,0,7,00,09,FF,CE,60,02,0F,00,
126442626,000001CC,false,Rx,0,4,00,3F,F5,E8,00,00,00,00,
126442632,00000481,false,Rx,0,2,32,00,00,00,00,00,00,00,
126442950,00000509,false,Rx,0,8,FF,71,01,41,00,55,60,FF,
126443138,0000054B,false,Rx,0,8,10,08,80,00,04,00,00,00,
126443326,000005E3,false,Rx,0,5,83,15,C5,30,80,00,00,00,
126448664,00000180,false,Rx,0,8,00,00,00,00,00,00,21,00,
126448843,00000174,false,Rx,0,8,00,00,00,AA,01,00,00,00,
126449163,00000176,false,Rx,0,7,00,00,00,00,00,00,01,00,
126449350,000001D5,false,Rx,0,5,00,00,00,01,D7,00,00,00,
126449529,00000260,false,Rx,0,4,C8,C8,7D,00,00,00,00,00,
126449720,00000421,false,Rx,0,3,08,00,00,00,00,00,00,00,
126451328,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126452212,000001CB,false,Rx,0,7,00,09,FF,CE,60,03,8A,00,
126452399,000001CC,false,Rx,0,4,00,3F,F5,F9,00,00,00,00,
126454599,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126454605,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126454610,00000358,false,Rx,0,8,04,0A,80,00,80,00,00,00,
126454617,0000035D,false,Rx,0,8,80,03,00,00,00,00,00,00,
126454623,0000060D,false,Rx,0,8,00,06,00,00,00,00,00,00,
126458680,00000180,false,Rx,0,8,00,00,00,00,00,00,22,00,
126458859,00000174,false,Rx,0,8,00,00,00,AA,02,00,00,00,
126459181,00000176,false,Rx,0,7,00,00,00,00,00,00,02,00,
126459369,000001D5,false,Rx,0,5,00,00,00,02,D8,00,00,00,
126459549,0000050A,false,Rx,0,8,04,C1,00,1C,00,21,04,00,
126459876,0000050D,false,Rx,0,8,63,00,00,00,00,A8,00,00,
126460056,00000510,false,Rx,0,8,81,00,D0,01,06,02,00,FF,
126460239,00000551,false,Rx,0,8,00,00,00,00,FF,00,40,00,
126460566,000005B3,false,Rx,0,8,64,58,FF,FB,C0,7E,5E,0A,
126461592,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126461773,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126462093,000001CB,false,Rx,0,7,00,09,FF,CE,60,00,80,00,
126462272,000001CC,false,Rx,0,4,00,3F,F5,06,00,00,00,00,
126468521,00000512,false,Rx,0,4,03,20,B4,0B,00,00,00,00,
126468839,00000174,false,Rx,0,8,00,00,00,AA,03,00,00,00,
126469019,00000176,false,Rx,0,7,00,00,00,00,00,00,03,00,
126469349,00000180,false,Rx,0,8,00,00,00,00,00,00,23,00,
126469528,000001D5,false,Rx,0,5,00,00,00,03,D9,00,00,00,
126469707,00000260,false,Rx,0,4,C8,C8,7D,00,00,00,00,00,
126471589,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126472190,000001CB,false,Rx,0,7,00,09,FF,CE,60,01,05,00,
126472377,000001CC,false,Rx,0,4,00,3F,F5,17,00,00,00,00,
126474193,00000215,false,Rx,0,6,FF,F0,FF,00,FF,FF,00,00,
126474199,00000216,false,Rx,0,2,43,64,00,00,00,00,00,00,
126474205,00000342,false,Rx,0,4,03,23,B4,05,00,00,00,00,
126474211,0000060D,false,Rx,0,8,00,06,00,2A,00,00,00,00,
126476586,0000002A,false,Rx,0,6,00,00,00,00,00,00,00,00,
126478733,00000180,false,Rx,0,8,00,00,00,00,00,00,24,00,
126479052,00000174,false,Rx,0,8,00,00,00,AA,04,00,00,00,
126479233,00000176,false,Rx,0,7,00,00,00,00,00,00,04,00,
126479420,000001D5,false,Rx,0,5,00,00,00,00,D6,00,00,00,
126481320,00000280,false,Rx,0,8,03,FF,C0,00,00,00,FF,C0,
126481500,00000559,false,Rx,0,3,4C,10,10,00,00,00,00,00,
126481818,000002DE,false,Rx,0,8,00,00,00,00,00,00,03,70,
126481998,00000355,false,Rx,0,8,00,00,00,00,00,00,60,00,
126482360,000001CB,false,Rx,0,7,00,01,FF,CE,60,02,26,00,
